City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Manzhouli,CN,65.7,few clouds,49.6,117.4333,Angala International Youth Hostel
209,Yumen,CN,77.22,overcast clouds,40.2833,97.2,
210,Laguna,US,78.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
211,La Baule-Escoublac,FR,76.66,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
213,Concepcion Del Oro,MX,65.64,overcast clouds,24.6333,-101.4167,Hotel Hacienda San Javier
214,Faanui,PF,78.42,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
218,Tyrma,RU,65.05,scattered clouds,50.0833,132.1667,
220,Bengkulu,ID,76.48,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
221,Saltillo,MX,75.29,clear sky,25.4167,-101.0,City Express Saltillo Sur
225,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
228,Weihe,CN,67.35,overcast clouds,32.9952,105.3247,
229,Poum,NC,71.01,overcast clouds,-20.2333,164.0167,
231,Saint George,US,75.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
232,Machinga,MW,70.25,clear sky,-15.1685,35.3,
236,Hereford,GB,74.62,overcast clouds,52.0568,-2.7148,The Green Dragon Hotel
237,Hobyo,SO,76.98,clear sky,5.3505,48.5268,Iftin hotel hobyo
239,Buala,SB,79.93,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
240,Canmore,CA,71.67,few clouds,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
243,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
247,Yichang,CN,79.05,few clouds,30.7144,111.2847,Gezhouba Hotel
248,Lethem,GY,78.85,few clouds,3.3803,-59.7968,Savannah Inn
249,Jiangyou,CN,74.71,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
251,Sechura,PE,71.1,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
252,San Juan Del Sur,NI,79.02,broken clouds,11.2529,-85.8705,Nuestra Casa
253,Znamenka,RU,71.13,overcast clouds,52.4167,41.4311,Gostinitsa Yeseninskaya
261,Ponnani,IN,76.32,overcast clouds,10.767,75.9252,Rouba Residency
262,Karaton,ID,74.19,clear sky,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
267,Bambous Virieux,MU,71.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
270,Camacha,PT,72.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
274,Saint Anthony,US,79.88,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
278,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
280,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
283,Kihei,US,78.84,scattered clouds,20.785,-156.4656,Maui Sunset
287,Vao,NC,69.15,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
290,Aviles,ES,79.38,broken clouds,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
293,Tommot,RU,69.22,overcast clouds,58.9564,126.2925,Gostinitsa Tommot
